dt,MW
2011-01-01 00:00:00,18049.0
2011-01-01 01:00:00,20961.0
2011-01-01 02:00:00,22521.0
2011-01-01 03:00:00,24071.0
2011-01-01 04:00:00,25428.0
2011-01-01 05:00:00,25821.0
2011-01-01 06:00:00,25566.0
2011-01-01 07:00:00,26062.0
2011-01-01 08:00:00,26942.0
2011-01-01 09:00:00,26915.0
2011-01-01 10:00:00,26876.0
2011-01-01 11:00:00,26232.0
2011-01-01 12:00:00,24934.0
2011-01-01 13:00:00,24849.0
2011-01-01 14:00:00,23196.0
2011-01-01 15:00:00,20936.0
2011-01-01 16:00:00,19053.0
2011-01-01 17:00:00,17367.0
2011-01-01 18:00:00,16775.0
2011-01-01 19:00:00,16029.0
2011-01-01 20:00:00,15644.0
2011-01-01 21:00:00,15453.0
2011-01-01 22:00:00,14321.0
2011-01-01 23:00:00,14228.0
2011-01-02 00:00:00,2609.0
2011-01-02 01:00:00,393.0
2011-01-02 02:00:00,553.0
2011-01-02 03:00:00,577.0
2011-01-02 04:00:00,669.0
2011-01-02 05:00:00,878.0
2011-01-02 06:00:00,1070.0
2011-01-02 07:00:00,943.0
2011-01-02 08:00:00,1025.0
2011-01-02 09:00:00,1474.0
2011-01-02 10:00:00,1626.0
2011-01-02 11:00:00,2006.0
2011-01-02 12:00:00,2415.0
2011-01-02 13:00:00,2654.0
2011-01-02 14:00:00,3113.0
2011-01-02 15:00:00,3335.0
2011-01-02 16:00:00,3757.0
2011-01-02 17:00:00,4136.0
2011-01-02 18:00:00,5472.0
2011-01-02 19:00:00,6725.0
2011-01-02 20:00:00,7925.0
2011-01-02 21:00:00,9405.0
2011-01-02 22:00:00,10583.0
2011-01-02 23:00:00,9734.0
2011-01-03 00:00:00,2705.0
2011-01-03 01:00:00,1940.0
2011-01-03 02:00:00,1778.0
2011-01-03 03:00:00,1490.0
2011-01-03 04:00:00,1521.0
2011-01-03 05:00:00,1530.0
2011-01-03 06:00:00,1840.0
2011-01-03 07:00:00,1867.0
2011-01-03 08:00:00,1550.0
2011-01-03 09:00:00,894.0
2011-01-03 10:00:00,665.0
2011-01-03 11:00:00,1028.0
2011-01-03 12:00:00,934.0
2011-01-03 13:00:00,719.0
2011-01-03 14:00:00,940.0
2011-01-03 15:00:00,1846.0
2011-01-03 16:00:00,3003.0
2011-01-03 17:00:00,4184.0
2011-01-03 18:00:00,5944.0
2011-01-03 19:00:00,8259.0
2011-01-03 20:00:00,9088.0
2011-01-03 21:00:00,8070.0
2011-01-03 22:00:00,6478.0
2011-01-03 23:00:00,4822.0
2011-01-04 00:00:00,16027.0
2011-01-04 01:00:00,19220.0
2011-01-04 02:00:00,19266.0
2011-01-04 03:00:00,19761.0
2011-01-04 04:00:00,19906.0
2011-01-04 05:00:00,20153.0
2011-01-04 06:00:00,20011.0
2011-01-04 07:00:00,20184.0
2011-01-04 08:00:00,18319.0
2011-01-04 09:00:00,18884.0
2011-01-04 10:00:00,22250.0
2011-01-04 11:00:00,23580.0
2011-01-04 12:00:00,22740.0
2011-01-04 13:00:00,21456.0
2011-01-04 14:00:00,20147.0
2011-01-04 15:00:00,17825.0
2011-01-04 16:00:00,15682.0
2011-01-04 17:00:00,11508.0
2011-01-04 18:00:00,7367.0
2011-01-04 19:00:00,4983.0
2011-01-04 20:00:00,3956.0
2011-01-04 21:00:00,4522.0
2011-01-04 22:00:00,4849.0
2011-01-04 23:00:00,4010.0
2011-01-05 00:00:00,12032.0
2011-01-05 01:00:00,11757.0
2011-01-05 02:00:00,10588.0
2011-01-05 03:00:00,10087.0
2011-01-05 04:00:00,9425.0
2011-01-05 05:00:00,9116.0
2011-01-05 06:00:00,8982.0
2011-01-05 07:00:00,7383.0
2011-01-05 08:00:00,6936.0
2011-01-05 09:00:00,7536.0
2011-01-05 10:00:00,8612.0
2011-01-05 11:00:00,9997.0
2011-01-05 12:00:00,10361.0
2011-01-05 13:00:00,10296.0
2011-01-05 14:00:00,9779.0
2011-01-05 15:00:00,8756.0
2011-01-05 16:00:00,7849.0
2011-01-05 17:00:00,7569.0
2011-01-05 18:00:00,7390.0
2011-01-05 19:00:00,7484.0
2011-01-05 20:00:00,7252.0
2011-01-05 21:00:00,8187.0
2011-01-05 22:00:00,9586.0
2011-01-05 23:00:00,9639.0
2011-01-06 00:00:00,9593.0
2011-01-06 01:00:00,11879.0
2011-01-06 02:00:00,12902.0
2011-01-06 03:00:00,14116.0
2011-01-06 04:00:00,14752.0
2011-01-06 05:00:00,13805.0
2011-01-06 06:00:00,13745.0
2011-01-06 07:00:00,13857.0
2011-01-06 08:00:00,11068.0
2011-01-06 09:00:00,9456.0
2011-01-06 10:00:00,7938.0
2011-01-06 11:00:00,7776.0
2011-01-06 12:00:00,7542.0
2011-01-06 13:00:00,7520.0
2011-01-06 14:00:00,7463.0
2011-01-06 15:00:00,7593.0
2011-01-06 16:00:00,8065.0
2011-01-06 17:00:00,8155.0
2011-01-06 18:00:00,7650.0
2011-01-06 19:00:00,6677.0
2011-01-06 20:00:00,5552.0
2011-01-06 21:00:00,5480.0
2011-01-06 22:00:00,5869.0
2011-01-06 23:00:00,6285.0
2011-01-07 00:00:00,9400.0
2011-01-07 01:00:00,9084.0
2011-01-07 02:00:00,8901.0
2011-01-07 03:00:00,7621.0
2011-01-07 04:00:00,6720.0
2011-01-07 05:00:00,6122.0
2011-01-07 06:00:00,5785.0
2011-01-07 07:00:00,4912.0
2011-01-07 08:00:00,4578.0
2011-01-07 09:00:00,7255.0
2011-01-07 10:00:00,8858.0
2011-01-07 11:00:00,8304.0
2011-01-07 12:00:00,7996.0
2011-01-07 13:00:00,7948.0
2011-01-07 14:00:00,9697.0
2011-01-07 15:00:00,10910.0
2011-01-07 16:00:00,11212.0
2011-01-07 17:00:00,12809.0
2011-01-07 18:00:00,10447.0
2011-01-07 19:00:00,9284.0
2011-01-07 20:00:00,9125.0
2011-01-07 21:00:00,8002.0
2011-01-07 22:00:00,8349.0
2011-01-07 23:00:00,9225.0
2011-01-08 00:00:00,1464.0
2011-01-08 01:00:00,1433.0
2011-01-08 02:00:00,1117.0
2011-01-08 03:00:00,1027.0
2011-01-08 04:00:00,891.0
2011-01-08 05:00:00,783.0
2011-01-08 06:00:00,659.0
2011-01-08 07:00:00,489.0
2011-01-08 08:00:00,339.0
2011-01-08 09:00:00,314.0
2011-01-08 10:00:00,286.0
2011-01-08 11:00:00,271.0
2011-01-08 12:00:00,241.0
2011-01-08 13:00:00,287.0
2011-01-08 14:00:00,284.0
2011-01-08 15:00:00,293.0
2011-01-08 16:00:00,418.0
2011-01-08 17:00:00,534.0
2011-01-08 18:00:00,602.0
2011-01-08 19:00:00,918.0
2011-01-08 20:00:00,794.0
2011-01-08 21:00:00,980.0
2011-01-08 22:00:00,1087.0
2011-01-08 23:00:00,1046.0
2011-01-09 00:00:00,1585.0
2011-01-09 01:00:00,1971.0
2011-01-09 02:00:00,1879.0
2011-01-09 03:00:00,1662.0
2011-01-09 04:00:00,1508.0
2011-01-09 05:00:00,1407.0
2011-01-09 06:00:00,1401.0
2011-01-09 07:00:00,1058.0
2011-01-09 08:00:00,753.0
2011-01-09 09:00:00,499.0
2011-01-09 10:00:00,484.0
2011-01-09 11:00:00,693.0
